PATCH_IDX,PATCH_CMD,Name,label,InvSlotWidth,InvSlotHeight,EquipableSlots,CanRotateIcon,ModelType,ItemClass,GenderSpecific,Part1EnvMap,Part2EnvMap,Part3EnvMap,DefaultModel,DefaultIcon,Container,WeaponWield,WeaponType,WeaponSize,RangedWeapon,PrefAttackDist,MinRange,MaxRange,NumDice,DieToRoll,CritThreat,CritHitMult,Category,BaseCost,Stacking,ItemMultiplier,Description,InvSoundType,MaxProps,MinProps,PropColumn,StorePanel,ReqFeat0,ReqFeat1,ReqFeat2,ReqFeat3,ReqFeat4,AC_Enchant,BaseAC,ArmorCheckPen,BaseItemStatRef,ChargesStarting,RotateOnGround,TenthLBS,WeaponMatType,AmmunitionType,QBBehaviour,ArcaneSpellFailure,%AnimSlashL,%AnimSlashR,%AnimSlashS,StorePanelSort,ILRStackSize,WeaponFocusFeat,EpicWeaponFocusFeat,WeaponSpecializationFeat,EpicWeaponSpecializationFeat,WeaponImprovedCriticalFeat,EpicWeaponOverwhelmingCriticalFeat,EpicWeaponDevastatingCriticalFeat,WeaponOfChoiceFeat
0,REPLACE,106,shortsword,1,2,0x1C030,1,2,WSwSs,0,1,1,1,it_bag,iwswss,0,****,1,2,****,1.2,10,255,1,6,2,2,1,10,1,2,1684,8,8,0,0,1,45,50,****,****,****,4,0,0,5410,0,1,30,1,****,****,****,35,35,65,19,1,103,633,141,671,65,723,509,925
1,REPLACE,166,longsword,1,4,0x1C030,1,2,WSwLs,0,1,1,1,it_bag,iwswls,0,****,3,3,****,1.5,10,255,1,8,2,2,1,15,1,2,1687,9,8,0,0,1,45,256,****,****,****,4,0,0,5417,0,1,40,1,****,****,****,50,50,50,70,1,106,636,144,674,68,726,512,928
2,REPLACE,169,battleaxe,2,3,0x1C030,1,2,WAxBt,0,1,1,1,it_bag,iwaxbt,0,****,3,3,****,1.2,10,255,1,8,1,3,1,10,1,2,1685,9,8,0,0,1,45,****,****,****,****,4,0,0,5415,0,1,70,16,****,****,****,100,100,0,41,1,110,640,148,678,72,730,516,931
3,REPLACE,168,bastardsword,2,4,0x1C030,1,2,WSwBs,0,1,1,1,it_bag,iwswbs,0,****,3,3,****,1.6,10,255,1,10,2,2,1,35,1,2,2288,9,8,0,0,1,44,****,****,****,****,4,0,0,5434,0,1,100,11,****,****,****,65,65,35,71,1,123,652,161,690,85,742,528,940
4,REPLACE,176,lightflail,1,3,0x1C030,1,2,WBlFl,0,1,1,1,it_bag,iwblfl,0,****,2,3,****,1.4,10,255,1,8,1,2,1,8,1,2,1686,11,8,0,0,1,45,****,****,****,****,4,0,0,5416,0,1,50,3,****,****,****,100,100,0,42,1,114,644,152,682,76,734,520,935
5,REPLACE,178,warhammer,2,3,0x1C030,1,2,WBlHw,0,1,1,1,it_bag,iwblhw,0,****,2,3,****,1.2,10,255,1,8,1,3,1,12,1,2,1690,14,8,0,0,1,45,****,****,****,****,4,0,0,5420,0,1,80,12,****,****,****,100,100,0,43,1,115,645,153,683,77,735,521,936
6,REPLACE,173,heavycrossbow,2,4,0x00030,1,2,WBwXh,0,1,1,1,it_bag,iwbwxh,0,6,1,3,25,30,10,255,1,10,2,2,2,50,1,2,1679,20,8,0,1,1,46,49,50,51,****,4,0,0,5414,0,2,90,15,2,****,****,****,****,****,99,1,92,622,130,660,54,712,498,****
7,REPLACE,174,lightcrossbow,2,3,0x00030,1,2,WBwXl,0,1,1,1,it_bag,iwbwxl,0,6,1,2,25,30,10,255,1,8,2,2,2,35,1,2,1674,19,8,0,1,1,46,49,50,51,****,4,0,0,5402,0,2,60,9,2,****,****,****,****,****,29,1,93,623,131,661,55,713,499,****
8,REPLACE,170,longbow,2,4,0x00030,1,2,WBwLn,0,0,0,0,it_bag,iwbwln,0,5,1,4,20,30,10,255,1,8,1,3,2,75,1,2,1697,19,8,0,1,1,45,256,****,****,****,4,0,0,5429,0,1,30,14,1,****,****,****,****,****,72,1,101,631,139,669,63,721,507,****
9,REPLACE,177,lightmace,1,2,0x1C030,1,2,WBlMl,0,0,0,1,it_bag,iwblml,0,****,2,2,****,1.2,10,255,1,6,1,2,1,5,1,2,1668,13,8,0,0,1,46,50,****,****,****,4,0,0,5399,0,1,60,2,****,****,****,100,100,0,44,1,94,624,132,662,56,714,500,921
10,REPLACE,175,halberd,2,5,0x1C010,1,2,WPlHb,0,0,0,1,it_bag,iwplhb,0,4,4,4,****,1.7,10,255,1,10,1,3,1,10,1,2,1694,15,8,0,0,1,45,****,****,****,****,4,0,0,5428,0,1,150,17,****,****,****,35,35,65,99,1,112,642,150,680,74,732,518,933
11,REPLACE,171,shortbow,2,3,0x00030,1,2,WBwSh,0,0,0,0,it_bag,iwbwsh,0,5,1,3,20,30,10,255,1,6,1,3,2,30,1,2,1695,19,8,0,1,1,45,50,256,****,****,4,0,0,5421,0,1,20,5,1,****,****,****,****,****,25,1,102,632,140,670,64,722,508,****
12,REPLACE,172,twobladedsword,2,5,0x1C010,1,2,WDbSw,0,1,1,1,it_bag,iwdbsw,0,8,3,4,****,1.5,10,255,1,8,2,2,1,100,1,2,1702,10,8,0,0,1,44,****,****,****,****,4,0,0,5431,0,1,150,11,****,****,****,50,50,50,99,1,127,655,165,693,89,745,531,943
