PATCH_IDX,PATCH_CMD,Label,StrRef,ModelName,LightColor,LightOffsetX,LightOffsetY,LightOffsetZ,SoundAppType,ShadowSize,BodyBag,LowGore,Reflection,Static
0,REPLACE,"Armoire 1",****,plc_a01,****,****,****,****,13,1,0,****,****,1
1,REPLACE,"Bookshelf 01",****,plc_a02,****,****,****,****,18,1,0,****,****,1
2,REPLACE,"Crate 01",****,plc_a03,****,****,****,****,12,1,0,****,****,1
3,REPLACE,"Crate 02",****,plc_a04,****,****,****,****,13,1,0,****,****,1
4,REPLACE,"Crate 03",****,plc_a05,****,****,****,****,13,1,0,****,****,1
5,REPLACE,"Crate 04",****,plc_a06,****,****,****,****,13,1,0,****,****,1
6,REPLACE,"Cabinet 1",****,plc_a07,****,****,****,****,16,1,0,****,****,1
7,REPLACE,"Chest 01",****,plc_a08,****,****,****,****,14,1,0,****,****,1
8,REPLACE,"Chest 02",****,plc_a09,****,****,****,****,15,1,0,****,****,1
9,REPLACE,"Chest 03",****,plc_a10,****,****,****,****,15,1,0,****,****,1
10,REPLACE,"Chest 04",****,plc_b01,****,****,****,****,15,1,0,****,****,1
11,REPLACE,"Chest of Drawers 1",****,plc_b02,****,****,****,****,16,1,0,****,****,1
12,REPLACE,"Desk 1",****,plc_b03,****,****,****,****,16,1,0,****,****,1
13,REPLACE,"Bag: Loot 1",****,plc_b04,****,****,****,****,23,1,0,****,****,1
14,REPLACE,"Bag: Loot 2",****,plc_b05,****,****,****,****,23,1,0,****,****,1
15,REPLACE,"Bag: Loot 3",****,plc_b06,****,****,****,****,23,1,0,****,****,1
16,REPLACE,"Bag: Loot 4",****,plc_b07,****,****,****,****,23,1,0,****,****,1
17,REPLACE,"Bag: Loot 5",****,plc_b08,****,****,****,****,23,1,0,****,****,1
18,REPLACE,"Bag: Loot 6",****,plc_b09,****,****,****,****,23,1,0,****,****,1
19,REPLACE,"Grave: Sarcophagus 01",****,plc_b10,****,****,****,****,26,1,0,****,****,1
20,REPLACE,"Grave: Sarcophagus 02",****,plc_c01,****,****,****,****,26,1,0,****,****,1
21,REPLACE,"Grave: Sarcophagus 03",****,plc_c02,****,****,****,****,26,1,0,****,****,1
22,REPLACE,"Lever 1",****,plc_d01,****,****,****,****,29,1,0,****,****,1
23,REPLACE,"Lever 2",****,plc_d02,****,****,****,****,29,1,0,****,****,1
24,REPLACE,"Button: Pillar 1",****,plc_d03,****,****,****,****,30,1,0,****,****,1
25,REPLACE,"Button: Pillar 2",****,plc_d04,****,****,****,****,31,1,0,****,****,1
26,REPLACE,"Lever: Pillar 1",****,plc_d05,****,****,****,****,29,1,0,****,****,1
27,REPLACE,"Lever: Pillar 2",****,plc_d06,****,****,****,****,29,1,0,****,****,1
28,REPLACE,"Portal 1",****,plc_d07,****,****,****,****,****,1,0,****,****,1
29,REPLACE,"Pressure Plate 1",****,plc_d08,****,****,****,****,30,1,0,****,****,1
30,REPLACE,"Pressure Plate 2",****,plc_d09,****,****,****,****,31,1,0,****,****,1
