PATCH_IDX,PATCH_CMD,BaseResRef,Sex,Race,InanimateType,Plot,LowGore
626,REPLACE,****,****,****,****,****,User029
876,REPLACE,plc_fish01_,4,****,5,****,****
877,REPLACE,plc_fish02_,4,****,5,****,****
878,REPLACE,plc_fish03_,4,****,5,****,****
879,REPLACE,****,****,****,****,****,Bioware_ID1
880,REPLACE,****,****,****,****,****,Bioware_ID1
881,REPLACE,****,****,****,****,****,Bioware_ID1
882,REPLACE,****,****,****,****,****,Bioware_ID1
883,REPLACE,****,****,****,****,****,Bioware_ID1
884,REPLACE,****,****,****,****,****,Bioware_ID1
885,REPLACE,****,****,****,****,****,Bioware_ID1
886,REPLACE,****,****,****,****,****,Bioware_ID1
986,REPLACE,driderf_,4,2,****,0,****
1266,REPLACE,caladnei_,4,6,****,0,****
1275,REPLACE,halaster_,0,6,****,0,****
1290,REPLACE,lacinda_,4,6,****,0,****
1296,REPLACE,truesilver_,4,6,****,0,****
2000,REPLACE,CaveGobA_,4,12,****,0,****
2001,REPLACE,CaveGobB_,4,12,****,0,****
2002,REPLACE,CaveGobSH_,4,12,****,0,****
2003,REPLACE,osyluth_,4,20,****,0,****
2004,REPLACE,bison_,4,8,****,0,****
2005,REPLACE,bisonant_,4,8,****,0,****
2006,REPLACE,longhorn_,4,8,****,0,****
2007,REPLACE,brahma_,4,8,****,0,****
2008,REPLACE,buffalo_,4,8,****,0,****
2009,REPLACE,angus_,4,8,****,0,****
2010,REPLACE,holstein_,4,8,****,0,****
2011,REPLACE,calf_,4,8,****,0,****
2012,REPLACE,Eyeball_,4,19,****,0,****
2013,REPLACE,Illithid_,4,7,****,0,****
2014,REPLACE,dr_m_01_,4,50,****,0,****
2015,REPLACE,dr_f_01_,4,50,****,0,****
2016,REPLACE,dr_f_02_,4,50,****,0,****
2017,REPLACE,dr_f_03_,4,50,****,0,****
2018,REPLACE,dr_m_02_,4,50,****,0,****
2019,REPLACE,dr_m_03_,4,50,****,0,****
2020,REPLACE,dr_m_06_,4,50,****,0,****
2021,REPLACE,dr_m_07_,4,50,****,0,****
2022,REPLACE,Gob_Spid_,4,12,****,0,****
2023,REPLACE,lupinalf_,4,13,****,0,****
2024,REPLACE,G_Ant_,4,25,****,0,****
2025,REPLACE,G_AntF_,4,25,****,0,****
2026,REPLACE,frgoba_,4,12,****,0,****
2027,REPLACE,frgobchi_,4,12,****,0,****
2028,REPLACE,frgobwiz_,4,12,****,0,****
2029,REPLACE,GobWorg_,4,12,****,0,****
2030,REPLACE,treant_,4,18,****,0,****
2031,REPLACE,brelf_m1_,4,1,****,0,****
2032,REPLACE,brelf_f1_,4,1,****,0,****
2033,REPLACE,necro_m1_,4,6,****,0,****
2034,REPLACE,necro_f1_,4,6,****,0,****
2035,REPLACE,TwigBlight_,4,10,****,0,****
2036,REPLACE,Scare_,4,10,****,0,****
2037,REPLACE,Iceghoul_,4,24,****,0,****
2038,REPLACE,xorn_,4,20,****,0,****
2039,REPLACE,cstirge_,4,9,****,0,****
2040,REPLACE,spiderbldbk_,4,25,****,0,****
2041,REPLACE,manticorec_,4,19,****,0,****
2042,REPLACE,marilith_,4,20,****,0,****
2043,REPLACE,salamander_,4,20,****,0,****
2044,REPLACE,gelugon_,4,20,****,0,****
2045,REPLACE,Myconid_,4,52,****,0,****
2046,REPLACE,visage_,4,24,****,0,****
2047,REPLACE,visageg_,4,24,****,0,****
2048,REPLACE,mplanetar_,4,20,****,0,****
2049,REPLACE,fplanetar_,4,20,****,0,****
2050,REPLACE,zerinyes2_,4,20,****,0,****
2051,REPLACE,lupinalm_,4,13,****,0,****
2052,REPLACE,werebat_,4,23,****,0,****
2053,REPLACE,icekobwiz_,4,15,****,0,****
2054,REPLACE,icekobchief_,4,15,****,0,****
2055,REPLACE,icekob_,4,15,****,0,****
