PATCH_IDX,PATCH_CMD,LABEL,MODEL,ENVMAP
1,REPLACE,"|Tail: Lizard",c_tailliz,default
2,REPLACE,"|Tail: Bone",c_tailbone,****
3,REPLACE,"|Tail: Devil",c_taildevil,default
4,REPLACE,"|Tail: Dragon, Brass",c_tail_brs,default
5,REPLACE,"|Tail: Dragon, Bronze",c_tail_brz,default
6,REPLACE,"|Tail: Dragon, Copper",c_tail_cop,default
7,REPLACE,"|Tail: Dragon, Silver",c_tail_sil,default
8,REPLACE,"|Tail: Dragon, Gold",c_tail_gol,default
9,REPLACE,"|Tail: Dragon, Black",c_tail_blk,****
10,REPLACE,"|Tail: Dragon, Blue",c_tail_blu,****
11,REPLACE,"|Tail: Dragon, Green",c_tail_grn,****
12,REPLACE,"|Tail: Dragon, Red",c_tail_red,****
13,REPLACE,"|Tail: Dragon, White",c_tail_whi,****
15,REPLACE,"Horse: Walnut",c_horse1,default
16,REPLACE,"Horse: Walnut, saddle",c_horse1a,default
17,REPLACE,"Horse: Walnut, saddle, packs",c_horse1b,default
18,REPLACE,"Horse: Walnut, leather barding",c_horse1c1,default
19,REPLACE,"Horse: Walnut, scale barding",c_horse1c2,default
20,REPLACE,"Horse: Walnut, chain barding",c_horse1c3,default
21,REPLACE,"Horse: Walnut, purple barding",c_horse1c4,default
22,REPLACE,"Horse: Walnut, red barding",c_horse1c5,default
23,REPLACE,"Horse: Walnut, leather barding, packs",c_horse1d1,default
24,REPLACE,"Horse: Walnut, scale barding, packs",c_horse1d2,default
25,REPLACE,"Horse: Walnut, chain barding, packs",c_horse1d3,default
26,REPLACE,"Horse: Walnut, purple barding, packs",c_horse1d4,default
27,REPLACE,"Horse: Walnut, red barding, packs",c_horse1d5,default
28,REPLACE,"Horse: Gunpowder",c_horse2,default
29,REPLACE,"Horse: Gunpowder, saddle",c_horse2a,default
30,REPLACE,"Horse: Gunpowder, saddle, packs",c_horse2b,default
31,REPLACE,"Horse: Gunpowder, leather barding",c_horse2c1,default
32,REPLACE,"Horse: Gunpowder, scale barding",c_horse2c2,default
33,REPLACE,"Horse: Gunpowder, chain barding",c_horse2c3,default
34,REPLACE,"Horse: Gunpowder, purple barding",c_horse2c4,default
35,REPLACE,"Horse: Gunpowder, red barding",c_horse2c5,default
36,REPLACE,"Horse: Gunpowder, leather barding, packs",c_horse2d1,default
37,REPLACE,"Horse: Gunpowder, scale barding, packs",c_horse2d2,default
38,REPLACE,"Horse: Gunpowder, chain barding, packs",c_horse2d3,default
39,REPLACE,"Horse: Gunpowder, purple barding, packs",c_horse2d4,default
40,REPLACE,"Horse: Gunpowder, red barding, packs",c_horse2d5,default
41,REPLACE,"Horse: Spotted",c_horse3,default
42,REPLACE,"Horse: Spotted, saddle",c_horse3a,default
43,REPLACE,"Horse: Spotted, saddle, packs",c_horse3b,default
44,REPLACE,"Horse: Spotted, leather barding",c_horse3c1,default
45,REPLACE,"Horse: Spotted, scale barding",c_horse3c2,default
46,REPLACE,"Horse: Spotted, chain barding",c_horse3c3,default
47,REPLACE,"Horse: Spotted, purple barding",c_horse3c4,default
48,REPLACE,"Horse: Spotted, red barding",c_horse3c5,default
49,REPLACE,"Horse: Spotted, leather barding, packs",c_horse3d1,default
50,REPLACE,"Horse: Spotted, scale barding, packs",c_horse3d2,default
51,REPLACE,"Horse: Spotted, chain barding, packs",c_horse3d3,default
52,REPLACE,"Horse: Spotted, purple barding, packs",c_horse3d4,default
53,REPLACE,"Horse: Spotted, red barding, packs",c_horse3d5,default
54,REPLACE,"Horse: Black",c_horse4,default
55,REPLACE,"Horse: Black, saddle",c_horse4a,default
56,REPLACE,"Horse: Black, saddle, packs",c_horse4b,default
57,REPLACE,"Horse: Black, leather barding",c_horse4c1,default
